date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:47:43	128/128	---MCZ	200	added ('OK')	text/plain	date:Thu,%2022%20Feb%202024%2015:17:46%20GMT	https://adornmentevents.com/robots.txt		(from )
20:47:44	355844/355844	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202024%2015:17:46%20GMT	https://adornmentevents.com/	C:/My%20Web%20Sites/farhan%20website/adornmentevents.com/index.html	(from )
20:47:45	69574/69574	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Feb%202024%2015:17:48%20GMT	https://adornmentevents.com/i	C:/My%20Web%20Sites/farhan%20website/adornmentevents.com/i	(from https://adornmentevents.com/)
20:47:46	35536/35536	---M--	200	added ('OK')	font/woff2	etag:%22638b9049-8ad0%22	https://adornmentevents.com/wp-content/uploads/summerfestival.woff2	C:/My%20Web%20Sites/farhan%20website/adornmentevents.com/wp-content/uploads/summerfestival.woff2	(from https://adornmentevents.com/)
20:47:46	69574/69574	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Feb%202024%2015:17:49%20GMT	https://adornmentevents.com/Firefox/	C:/My%20Web%20Sites/farhan%20website/adornmentevents.com/Firefox/index.html	(from https://adornmentevents.com/)
20:47:47	66564/66564	---M--	200	added ('OK')	font/woff2	etag:%22638b9195-10404%22	https://adornmentevents.com/wp-content/uploads/avenir-next-regular.woff2	C:/My%20Web%20Sites/farhan%20website/adornmentevents.com/wp-content/uploads/avenir-next-regular.woff2	(from https://adornmentevents.com/)
20:47:48	45772/45772	---M--	200	added ('OK')	font/woff	etag:%22638b903f-b2cc%22	https://adornmentevents.com/wp-content/uploads/summerfestival.woff	C:/My%20Web%20Sites/farhan%20website/adornmentevents.com/wp-content/uploads/summerfestival.woff	(from https://adornmentevents.com/)
20:47:48	48324/48324	---M--	200	added ('OK')	font/woff	etag:%22638b9191-bcc4%22	https://adornmentevents.com/wp-content/uploads/avenir-next-regular.woff	C:/My%20Web%20Sites/farhan%20website/adornmentevents.com/wp-content/uploads/avenir-next-regular.woff	(from https://adornmentevents.com/)
20:47:48	3943/3943	---M--	200	added ('OK')	image/png	etag:%2265cb97d7-f67%22	https://adornmentevents.com/wp-content/plugins/instagram-feed-pro/img/sbi-sprite.png	C:/My%20Web%20Sites/farhan%20website/adornmentevents.com/wp-content/plugins/instagram-feed-pro/img/sbi-sprite.png	(from https://adornmentevents.com/)
20:47:49	216962/216962	---MCZ	200	added ('OK')	application/json	date:Thu,%2022%20Feb%202024%2015:17:52%20GMT	https://adornmentevents.com/wp-json/	C:/My%20Web%20Sites/farhan%20website/adornmentevents.com/wp-json/index.html	(from https://adornmentevents.com/)
20:47:49	94274/94274	---MCZ	200	added ('OK')	application/json	date:Thu,%2022%20Feb%202024%2015:17:52%20GMT	https://adornmentevents.com/wp-json/wp/v2/pages/2	C:/My%20Web%20Sites/farhan%20website/adornmentevents.com/wp-json/wp/v2/pages/2.json	(from https://adornmentevents.com/)
20:47:49	1096/1096	---M--	200	added ('OK')	image/png	etag:%2263b0746a-448%22	https://adornmentevents.com/wp-content/uploads/cropped-favicon-32x32.png	C:/My%20Web%20Sites/farhan%20website/adornmentevents.com/wp-content/uploads/cropped-favicon-32x32.png	(from https://adornmentevents.com/)
20:47:49	17619/17619	---M--	200	added ('OK')	image/png	etag:%2263b0746a-44d3%22	https://adornmentevents.com/wp-content/uploads/cropped-favicon-192x192.png	C:/My%20Web%20Sites/farhan%20website/adornmentevents.com/wp-content/uploads/cropped-favicon-192x192.png	(from https://adornmentevents.com/)
20:47:50	16149/16149	---M--	200	added ('OK')	image/png	etag:%2263b0746a-3f15%22	https://adornmentevents.com/wp-content/uploads/cropped-favicon-180x180.png	C:/My%20Web%20Sites/farhan%20website/adornmentevents.com/wp-content/uploads/cropped-favicon-180x180.png	(from https://adornmentevents.com/)
20:47:50	87/87	---M--	200	added ('OK')	image/png	etag:%22638ba945-57%22	https://adornmentevents.com/wp-content/uploads/white-block.png	C:/My%20Web%20Sites/farhan%20website/adornmentevents.com/wp-content/uploads/white-block.png	(from https://adornmentevents.com/)
20:47:50	86966/86966	---M--	200	added ('OK')	image/jpeg	etag:%22638b9bd4-153b6%22	https://adornmentevents.com/wp-content/uploads/home-hero-bg.jpg	C:/My%20Web%20Sites/farhan%20website/adornmentevents.com/wp-content/uploads/home-hero-bg.jpg	(from https://adornmentevents.com/)
20:47:51	92950/92950	---M--	200	added ('OK')	image/jpeg	etag:%22639d1692-16b16%22	https://adornmentevents.com/wp-content/uploads/carisa.jpg	C:/My%20Web%20Sites/farhan%20website/adornmentevents.com/wp-content/uploads/carisa.jpg	(from https://adornmentevents.com/)
20:47:51	168448/168448	---M--	200	added ('OK')	image/jpeg	etag:%2263ac8407-29200%22	https://adornmentevents.com/wp-content/uploads/Derek_Ryan_W0642-1.jpg	C:/My%20Web%20Sites/farhan%20website/adornmentevents.com/wp-content/uploads/Derek_Ryan_W0642-1.jpg	(from https://adornmentevents.com/)
20:47:51	47060/47060	---M--	200	added ('OK')	image/jpeg	etag:%22638bb376-b7d4%22	https://adornmentevents.com/wp-content/uploads/trees-bottom.jpg	C:/My%20Web%20Sites/farhan%20website/adornmentevents.com/wp-content/uploads/trees-bottom.jpg	(from https://adornmentevents.com/)
20:47:51	662/662	---M--	200	added ('OK')	image/png	etag:%2265c2719a-296%22	https://adornmentevents.com/wp-content/plugins/wp-rocket/assets/img/youtube.png	C:/My%20Web%20Sites/farhan%20website/adornmentevents.com/wp-content/plugins/wp-rocket/assets/img/youtube.png	(from https://adornmentevents.com/)
20:47:52	29309/29309	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22638b92c3-727d%22	https://adornmentevents.com/wp-content/uploads/ae-logo-2022.svg	C:/My%20Web%20Sites/farhan%20website/adornmentevents.com/wp-content/uploads/ae-logo-2022.svg	(from https://adornmentevents.com/)
20:47:52	234958/234958	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202024%2015:17:55%20GMT	https://adornmentevents.com/about-us/	C:/My%20Web%20Sites/farhan%20website/adornmentevents.com/about-us/index.html	(from https://adornmentevents.com/)
20:47:53	133123/133123	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Feb%202024%2015:17:55%20GMT	https://adornmentevents.com/preferred-partners/	C:/My%20Web%20Sites/farhan%20website/adornmentevents.com/preferred-partners/index.html	(from https://adornmentevents.com/)
